path,recommended_permissions,notes
"external/openclaw/docs/zh-CN/concepts/compaction.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/context.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/group-messages.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/groups.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/markdown-formatting.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/memory.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/messages.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/model-failover.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/model-providers.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/models.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/multi-agent.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/oauth.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/presence.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/queue.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/retry.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/session-pruning.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/session-tool.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/session.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/sessions.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/streaming.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/system-prompt.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/timezone.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/typebox.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/typing-indicators.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/concepts/usage-tracking.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/debug/node-issue.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/diagnostics/flags.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/experiments/onboarding-config-protocol.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/experiments/plans/cron-add-hardening.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/experiments/plans/group-policy-hardening.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/experiments/plans/openresponses-gateway.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/experiments/proposals/model-config.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/experiments/research/memory.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/authentication.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/background-process.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/bonjour.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/bridge-protocol.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/cli-backends.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/configuration-examples.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/configuration.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/discovery.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/doctor.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/gateway-lock.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/health.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/heartbeat.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/local-models.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/logging.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/multiple-gateways.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/openai-http-api.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/openresponses-http-api.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/pairing.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/protocol.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/remote-gateway-readme.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/remote.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/sandbox-vs-tool-policy-vs-elevated.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/sandboxing.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/tailscale.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/tools-invoke-http-api.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/troubleshooting.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/security/formal-verification.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/gateway/security/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/help/faq.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/help/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/help/troubleshooting.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/hooks/soul-evil.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/ansible.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/bun.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/development-channels.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/docker.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/installer.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/migrating.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/nix.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/node.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/uninstall.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/install/updating.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/audio.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/camera.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/images.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/location-command.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/media-understanding.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/talk.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/nodes/voicewake.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/android.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/digitalocean.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/exe-dev.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/fly.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/gcp.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/hetzner.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/ios.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/linux.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/macos-vm.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/macos.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/oracle.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/raspberry-pi.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/windows.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/bundled-gateway.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/canvas.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/child-process.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/dev-setup.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/health.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/icon.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/logging.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/menu-bar.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/peekaboo.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/permissions.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/release.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/remote.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/signing.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/skills.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/voice-overlay.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/voicewake.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/webchat.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/platforms/mac/xpc.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/plugins/agent-tools.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/plugins/manifest.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/plugins/voice-call.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/plugins/zalouser.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/anthropic.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/claude-max-api-proxy.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/deepgram.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/github-copilot.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/glm.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/minimax.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/models.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/moonshot.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/ollama.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/openai.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/opencode.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/openrouter.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/qwen.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/synthetic.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/venice.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/vercel-ai-gateway.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/xiaomi.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/providers/zai.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/refactor/clawnet.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/refactor/exec-host.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/refactor/outbound-session-mirroring.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/refactor/plugin-sdk.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/refactor/strict-config.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/AGENTS.default.md","contents:read","agent script, default read access"
"external/openclaw/docs/zh-CN/reference/api-usage-costs.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/device-models.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/RELEASING.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/rpc.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/session-management-compaction.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/test.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/transcript-hygiene.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/AGENTS.dev.md","contents:read","agent script, default read access"
"external/openclaw/docs/zh-CN/reference/templates/AGENTS.md","contents:read","agent script, default read access"
"external/openclaw/docs/zh-CN/reference/templates/BOOT.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/BOOTSTRAP.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/HEARTBEAT.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/IDENTITY.dev.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/SOUL.dev.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/SOUL.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/TOOLS.dev.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/TOOLS.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/reference/templates/USER.dev.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/security/formal-verification.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/getting-started.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/hubs.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/lore.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/onboarding.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/openclaw.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/pairing.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/setup.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/showcase.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/start/wizard.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/agent-send.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/apply-patch.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/browser-linux-troubleshooting.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/browser-login.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/browser.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/chrome-extension.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/clawhub.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/creating-skills.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/elevated.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/exec-approvals.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/exec.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/firecrawl.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/llm-task.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/lobster.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/reactions.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/skills-config.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/skills.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/slash-commands.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/subagents.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/thinking.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/tools/web.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/web/control-ui.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/web/dashboard.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/web/index.md","contents:read","default conservative read-only"
"external/openclaw/docs/zh-CN/web/webchat.md","contents:read","default conservative read-only"
"external/openclaw/docs/_layouts/default.html","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/actions.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/attachments.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/chat.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/config-schema.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/media-send.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/monitor.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/monitor.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/onboarding.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/probe.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/reactions.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/send.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/targets.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/targets.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/bluebubbles/src/types.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/copilot-proxy/index.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/diagnostics-otel/src/service.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/discord/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/google-antigravity-auth/index.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/google-gemini-cli-auth/index.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/google-gemini-cli-auth/oauth.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/google-gemini-cli-auth/oauth.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/src/api.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/src/auth.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/src/monitor.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/src/onboarding.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/googlechat/src/targets.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/imessage/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/line/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/line/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/llm-task/src/llm-task-tool.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/lobster/README.md","contents:read","default conservative read-only"
"external/openclaw/extensions/lobster/src/lobster-tool.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/lobster/src/lobster-tool.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/directory-live.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/credentials.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/deps.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/send.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/actions/reactions.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/client/create-client.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/client/shared.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/client/storage.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/client/types.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/direct.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/handler.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/location.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/media.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/media.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/mentions.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/monitor/room-info.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/send/formatting.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/send/media.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/matrix/src/matrix/send/targets.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/src/config-schema.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/src/mattermost/client.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/src/mattermost/monitor-helpers.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/src/mattermost/monitor.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/mattermost/src/mattermost/send.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/memory-lancedb/config.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/memory-lancedb/index.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/memory-lancedb/index.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/memory-lancedb/openclaw.plugin.json","contents:read","default conservative read-only"
"external/openclaw/extensions/minimax-portal-auth/index.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/CHANGELOG.md","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/attachments.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/conversation-store-fs.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/conversation-store-fs.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/conversation-store-memory.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/directory-live.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/file-consent-helpers.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/graph-upload.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/media-helpers.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/media-helpers.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/messenger.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/monitor.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/pending-uploads.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/polls-store-memory.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/polls-store.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/polls.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/polls.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/reply-dispatcher.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/resolve-allowlist.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/sent-message-cache.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/storage.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/store-fs.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/attachments/download.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/attachments/graph.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/attachments/payload.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/attachments/shared.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/attachments/types.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/monitor-handler/inbound-media.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/msteams/src/monitor-handler/message-handler.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/config-schema.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/format.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/inbound.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/monitor.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/room-info.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nextcloud-talk/src/types.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/index.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/package.json","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/README.md","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/channel.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/channel.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/metrics.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-bus.integration.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-bus.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-profile-http.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-profile-http.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-profile.fuzz.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-profile.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-state-store.test.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/nostr-state-store.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/nostr/src/seen-tracker.ts","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/alt-borges.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/compiler.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/help.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/prose.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/SKILL.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/alts/arabian-nights.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/alts/borges.md","contents:read","default conservative read-only"
"external/openclaw/extensions/open-prose/skills/prose/alts/folk.md","contents:read","default conservative read-only"
